	Node	Authority	Hubness	Ranks
0	100	0.0013695454358997894	0.007609003973895434	0.0007340704540517244
1	104	0.0	0.00042511107696026324	0.000646551724137931
2	106	0.0	0.00023674365991296022	0.000646551724137931
3	108	0.0	0.00021113756209804218	0.000646551724137931
4	111	0.0015626059931649902	0.016663444553882672	0.0007061733000128281
5	116	5.01443894769541e-06	0.0005949695756825344	0.0006622536945812807
6	119	0.0002217333380423102	0.0005970279373927228	0.0006523131139755588
7	123	0.0006803737099266186	0.00154364380909964	0.0006560551890207176
8	124	0.0001211696686672295	0.0005171474812216246	0.0006639164390855419
9	138	0.0006802867601185772	0.0029273245927705035	0.0006602421266636955
10	14	0.0	0.003000208013444396	0.000646551724137931
11	144	0.001620714005635273	0.0172252438693722	0.0007964998567066385
12	147	0.0005218551148075567	0.000984067803844089	0.0006509216722391126
13	148	0.0010407934917481198	0.0027771535394898066	0.0006660923105840512
14	163	0.0020880312480789968	0.017504457057496054	0.0007533562620924024
15	168	0.0011093015658357474	0.0037994753737576083	0.0006705348547626397
16	169	0.00031349201144469324	0.0008879453388960175	0.0006526294630920886
17	172	0.0007162160154601352	0.0017303159869038697	0.000668474174322462
18	188	0.0017595554498101272	0.012986576170654133	0.0007325418064079411
19	19	3.539039189759211e-05	0.006736483729803067	0.0006499027544154751
20	191	0.0016103966753225711	0.002732626641945177	0.0006683159262609519
21	192	0.0010146053884756538	0.002504132796473525	0.000688457124763245
22	194	0.0012757793064346228	0.003749547667602312	0.0006730699955351167
23	197	0.0005676665508340915	0.0005563964882416725	0.0006579775371188032
24	203	0.001745094130629253	0.005644545619474829	0.0006915204889246627
25	209	0.0004832935671287556	0.0010667386417285345	0.000652241763950276
26	210	0.002181467725760781	0.004867909627767074	0.0007105399688858762
27	212	0.002296321694285441	0.008635823368891142	0.0007381183814046927
28	214	0.0002844269857104519	0.0012159863426166935	0.0006775560128929521
29	23	0.0	0.0006012558294484793	0.000646551724137931
30	231	0.0012819437894454552	0.005273384289119119	0.0006834632242914851
31	238	0.002688443881293056	0.013267277332959224	0.0007833407425565399
32	243	0.0017036682949614424	0.0021980579717136056	0.0006886069274405104
33	247	0.0027862742061708274	0.015592350733201163	0.0007628416630290478
34	248	0.0026369246822861496	0.009639466065288295	0.0007164554384174918
35	25	0.0	0.001184041359659472	0.000646551724137931
36	254	0.00015680619752504445	0.0005120338933812512	0.0006850506954584073
37	259	0.0029259002565594134	0.01089299377154021	0.000772233991739239
38	26	7.944843063179365e-05	0.002444042884554025	0.0006479224867713136
39	261	0.0029036990782236286	0.009872111018810033	0.0007235536526056476
40	263	0.002869942863207305	0.008102015298708768	0.0008424987799444278
41	266	0.00044354667298206744	0.0003966804338281661	0.0006727604042951229
42	268	0.00019650418515234765	0.0001179436496224443	0.0006472680097047699
43	277	0.003786556915409968	0.017289826586951912	0.0009185427150345252
44	28	0.00017297668977052044	0.00909261432030794	0.0007824764526014771
45	281	0.0006797827383341337	0.001035434512384709	0.0006610611704093043
46	291	0.0004791562461647419	0.0008157401149211587	0.0006819326098029137
47	293	0.0037904569589823694	0.010837666250176398	0.0007505702839416368
48	299	0.003454407399584442	0.009304738990581672	0.0007652356770299556
49	3	0.0	6.805082967682701e-05	0.000646551724137931
50	307	0.0024565086667761343	0.004253001754562291	0.0007051917393526443
51	310	0.0020291031262201923	0.0017580978271603096	0.0006877860469217006
52	318	0.0038978485442427505	0.017487070884537655	0.0008381313628627479
53	319	0.003498827419694933	0.009856717468715193	0.0007439575028054946
54	322	0.004334877709662841	0.012173016776474598	0.0007677629395297371
55	324	0.0003731624238399174	0.00024279425345611233	0.0006530014202111429
56	326	0.004212541961391782	0.015732239749849112	0.0008065366618816918
57	327	0.002132843205463516	0.0015712417751871102	0.0006982857030525225
58	331	0.002750048221709433	0.00211240753558382	0.0006778581931428039
59	336	0.004026823138683691	0.008392698345511339	0.0008817891704498811
60	338	0.0008377419521504445	0.00036679351691472546	0.0006995798939192555
61	348	0.0015035481345933512	0.0006144187253280297	0.0006648212124735325
62	35	0.0002802095441147021	0.00824813043921034	0.0007836453541563299
63	350	0.00318569476727607	0.00214663829862825	0.000689520470909694
64	359	0.004764182433060059	0.008157262294313239	0.0008068525598370527
65	36	0.0	0.000682741012750333	0.000646551724137931
66	368	0.004194717105242571	0.009172020640204382	0.0007520409519734507
67	371	0.0006281676034201854	0.0005401401260930152	0.0006791481800664388
68	374	0.0030808729329218454	0.003913793649245547	0.000699342512234297
69	377	0.0021117455370878173	0.0027397185540130914	0.0006995815195516862
70	378	0.0008384832100734932	0.000526047210942051	0.0006957385383046342
71	387	0.002147103682496431	0.003077959874823057	0.000711229657106476
72	39	0.0	0.0006620219844276086	0.000646551724137931
73	395	0.005049759555781058	0.0109720877309203	0.0009098954982844235
74	397	0.001459601886575433	0.0013528225340949107	0.0006874682471659805
75	40	0.00020450716883850943	0.0026567190782169924	0.0006491378566524283
76	402	0.0041456497726318885	0.005550732340732436	0.0008797579731599133
77	404	0.002656362457965083	0.0023717713287834067	0.0007183629932661362
78	405	0.005389869108363217	0.014873079053049703	0.0008426583069572152
79	414	0.0021568359944286737	0.001519948675419859	0.0006883104650011868
80	418	0.0005212484501672668	0.00021989294789079706	0.000681476788689374
81	42	0.00011608147843817402	0.001832367219174368	0.0006655401201610447
82	422	0.00478809209180374	0.00861171990635137	0.0007717507191439654
83	423	0.0014220193640148812	0.0010006618710356463	0.000683903616776366
84	432	0.005652672967448556	0.01350445257082837	0.0008884973032737835
85	435	0.004704621175211071	0.004603653256836638	0.0007745260985891872
86	439	0.004203832467366819	0.0024563803632017293	0.0008630131333457524
87	443	0.004359884275657434	0.006882140577372014	0.0008413884522476567
88	444	0.00372790266545113	0.0025829579103819693	0.00087212336814554
89	449	0.002441397262581204	0.0023444661056775274	0.0008027360367718732
90	451	0.00583825950385463	0.013868829501378075	0.0009874120834652894
